datetime,count
2011-01-20 00:00:00,11.994
2011-01-20 01:00:00,4.904
2011-01-20 02:00:00,3.458
2011-01-20 03:00:00,3.234
2011-01-20 04:00:00,2.774
2011-01-20 05:00:00,4.816
2011-01-20 06:00:00,35.988
2011-01-20 07:00:00,98.494
2011-01-20 08:00:00,213.438
2011-01-20 09:00:00,119.914
2011-01-20 10:00:00,60.552
2011-01-20 11:00:00,60.148
2011-01-20 12:00:00,79.274
2011-01-20 13:00:00,71.046
2011-01-20 14:00:00,75.73
2011-01-20 15:00:00,81.572
2011-01-20 16:00:00,90.684
2011-01-20 17:00:00,186.072
2011-01-20 18:00:00,170.676
2011-01-20 19:00:00,100.652
2011-01-20 20:00:00,73.642
2011-01-20 21:00:00,46.668
2011-01-20 22:00:00,43.378
2011-01-20 23:00:00,21.324
2011-01-21 00:00:00,17.338
2011-01-21 01:00:00,6.086
2011-01-21 02:00:00,5.21
2011-01-21 03:00:00,2.958
2011-01-21 04:00:00,1.9172
2011-01-21 05:00:00,3.856
2011-01-21 06:00:00,34.224
2011-01-21 07:00:00,97.292
2011-01-21 08:00:00,187.95
2011-01-21 09:00:00,127.096
2011-01-21 10:00:00,51.386
2011-01-21 11:00:00,59.764
2011-01-21 12:00:00,68.976
2011-01-21 13:00:00,69.212
2011-01-21 14:00:00,67.074
2011-01-21 15:00:00,64.43
2011-01-21 16:00:00,75.548
2011-01-21 17:00:00,144.776
2011-01-21 18:00:00,140.162
2011-01-21 19:00:00,100.784
2011-01-21 20:00:00,67.5
2011-01-21 21:00:00,41.456
2011-01-21 22:00:00,33.158
2011-01-21 23:00:00,19.496
2011-01-22 00:00:00,28.492
2011-01-22 01:00:00,16.092
2011-01-22 02:00:00,13.884
2011-01-22 03:00:00,7.786
2011-01-22 04:00:00,3.088
2011-01-22 06:00:00,5.624
2011-01-22 07:00:00,15.196
2011-01-22 08:00:00,24.414
2011-01-22 09:00:00,30.146
2011-01-22 10:00:00,56.784
2011-01-22 11:00:00,59.564
2011-01-22 12:00:00,68.526
2011-01-22 13:00:00,79.242
2011-01-22 14:00:00,75.952
2011-01-22 15:00:00,75.58
2011-01-22 16:00:00,75.516
2011-01-22 17:00:00,81.042
2011-01-22 18:00:00,63.362
2011-01-22 19:00:00,41.736
2011-01-22 20:00:00,42.258
2011-01-22 21:00:00,39.214
2011-01-22 22:00:00,31.624
2011-01-22 23:00:00,15.402
2011-01-23 00:00:00,29.346
2011-01-23 01:00:00,17.078
2011-01-23 02:00:00,13.722
2011-01-23 03:00:00,13.392
2011-01-23 05:00:00,3.35
2011-01-23 06:00:00,2.238
2011-01-23 07:00:00,12.858
2011-01-23 08:00:00,19.306
2011-01-23 09:00:00,22.732
2011-01-23 10:00:00,54.48
2011-01-23 11:00:00,62.404
2011-01-23 12:00:00,66.974
2011-01-23 13:00:00,66.164
2011-01-23 14:00:00,71.76
2011-01-23 15:00:00,71.442
2011-01-23 16:00:00,74.87
2011-01-23 17:00:00,68.562
2011-01-23 18:00:00,67.238
2011-01-23 19:00:00,43.766
2011-01-23 20:00:00,32.682
2011-01-23 21:00:00,27.646
2011-01-23 22:00:00,18.602
2011-01-23 23:00:00,14.162
2011-01-24 00:00:00,10.138
2011-01-24 01:00:00,4.12
2011-01-24 03:00:00,2.594
2011-01-24 04:00:00,2.68
2011-01-24 05:00:00,4.768
2011-01-24 06:00:00,24.214
2011-01-24 07:00:00,82.554
2011-01-24 08:00:00,159.19
2011-01-24 09:00:00,111.202
2011-01-24 10:00:00,51.39
2011-01-24 11:00:00,42.864
2011-01-24 12:00:00,50.992
2011-01-24 13:00:00,47.974
2011-01-24 14:00:00,46.082
2011-01-24 15:00:00,55.032
2011-01-24 16:00:00,69.286
2011-01-24 17:00:00,140.014
2011-01-24 18:00:00,135.322
2011-01-24 19:00:00,94.178
2011-01-24 20:00:00,64.788
2011-01-24 21:00:00,42.544
2011-01-24 22:00:00,27.812
2011-01-24 23:00:00,18.568
2011-01-25 00:00:00,8.988
2011-01-25 01:00:00,3.542
2011-01-25 02:00:00,2.062
2011-01-25 04:00:00,2.092
2011-01-25 05:00:00,3.824
2011-01-25 06:00:00,32.848
2011-01-25 07:00:00,77.796
2011-01-25 08:00:00,153.478
2011-01-25 09:00:00,116.682
2011-01-25 10:00:00,58.782
2011-01-25 11:00:00,60.74
2011-01-25 12:00:00,69.948
2011-01-25 13:00:00,71.74
2011-01-25 14:00:00,72.924
2011-01-25 15:00:00,73.448
2011-01-25 16:00:00,91.928
2011-01-25 17:00:00,196.676
2011-01-25 18:00:00,182.766
2011-01-25 19:00:00,111.554
2011-01-25 20:00:00,76.436
2011-01-25 21:00:00,46.7
2011-01-25 22:00:00,38.39
2011-01-25 23:00:00,16.408
2011-01-26 00:00:00,9.004
2011-01-26 01:00:00,4.406
2011-01-26 02:00:00,3.188
2011-01-26 05:00:00,3.242
2011-01-26 06:00:00,24.514
2011-01-26 07:00:00,69.84
2011-01-26 08:00:00,148.512
2011-01-26 09:00:00,83.254
2011-01-26 10:00:00,48.486
2011-01-26 11:00:00,43.896
2011-01-26 12:00:00,46.012
2011-01-26 13:00:00,46.916
2011-01-26 14:00:00,47.224
2011-01-26 15:00:00,46.756
2011-01-26 16:00:00,60.776
2011-01-26 17:00:00,110.73
2011-01-27 16:00:00,79.062
2011-01-27 17:00:00,159.918
2011-01-27 18:00:00,138.816
2011-01-27 19:00:00,97.89
2011-01-27 20:00:00,77.056
2011-01-27 21:00:00,47.288
2011-01-27 22:00:00,39.238
2011-01-27 23:00:00,19.648
2011-01-28 00:00:00,14.13
2011-01-28 01:00:00,6.452
2011-01-28 02:00:00,2.492
2011-01-28 03:00:00,2.012
2011-01-28 05:00:00,6.332
2011-01-28 06:00:00,31.912
2011-01-28 07:00:00,76.848
2011-01-28 08:00:00,160.812
2011-01-28 09:00:00,80.452
2011-01-28 10:00:00,44.678
2011-01-28 11:00:00,45.446
2011-01-28 12:00:00,49.428
2011-01-28 13:00:00,51.718
2011-01-28 14:00:00,60.52
2011-01-28 15:00:00,57.614
2011-01-28 16:00:00,75.94
2011-01-28 17:00:00,155.072
2011-01-28 18:00:00,144.702
2011-01-28 19:00:00,101.418
2011-01-28 20:00:00,75.636
2011-01-28 21:00:00,44.006
2011-01-28 22:00:00,40.822
2011-01-28 23:00:00,20.296
2011-01-29 00:00:00,30.0
2011-01-29 01:00:00,18.906
2011-01-29 02:00:00,15.842
2011-01-29 03:00:00,10.434
2011-01-29 04:00:00,3.16
2011-01-29 06:00:00,4.38
2011-01-29 07:00:00,16.182
2011-01-29 08:00:00,27.668
2011-01-29 09:00:00,34.394
2011-01-29 10:00:00,62.392
2011-01-29 11:00:00,63.196
2011-01-29 12:00:00,72.754
2011-01-29 13:00:00,80.938
2011-01-29 14:00:00,78.806
2011-01-29 15:00:00,76.676
2011-01-29 16:00:00,87.142
2011-01-29 17:00:00,81.734
2011-01-29 18:00:00,74.046
2011-01-29 19:00:00,66.556
2011-01-29 20:00:00,51.88
2011-01-29 21:00:00,40.552
2011-01-29 22:00:00,34.37
2011-01-29 23:00:00,16.662
2011-01-30 00:00:00,30.81
2011-01-30 01:00:00,22.4
2011-01-30 02:00:00,18.686
2011-01-30 03:00:00,12.198
2011-01-30 04:00:00,4.618
2011-01-30 05:00:00,3.682
2011-01-30 07:00:00,9.464
2011-01-30 08:00:00,20.404
2011-01-30 09:00:00,31.662
2011-01-30 10:00:00,61.562
2011-01-30 11:00:00,69.608
2011-01-30 12:00:00,101.24
2011-01-30 13:00:00,87.646
2011-01-30 14:00:00,89.168
2011-01-30 15:00:00,104.098
2011-01-30 16:00:00,104.004
2011-01-30 17:00:00,75.182
2011-01-30 18:00:00,70.804
2011-01-30 19:00:00,57.186
2011-01-30 20:00:00,52.134
2011-01-30 21:00:00,29.306
2011-01-30 22:00:00,22.04
2011-01-30 23:00:00,13.688
2011-01-31 00:00:00,12.246
2011-01-31 01:00:00,3.334
2011-01-31 02:00:00,2.378
2011-01-31 03:00:00,2.678
2011-01-31 04:00:00,2.374
2011-01-31 05:00:00,2.218
2011-01-31 06:00:00,33.098
2011-01-31 07:00:00,74.474
2011-01-31 08:00:00,143.716
2011-01-31 09:00:00,88.116
2011-01-31 10:00:00,44.492
2011-01-31 11:00:00,43.292
2011-01-31 12:00:00,56.924
2011-01-31 13:00:00,60.09
2011-01-31 14:00:00,51.782
2011-01-31 15:00:00,50.838
2011-01-31 16:00:00,69.996
2011-01-31 17:00:00,139.64
